benchmark,benchmark_type,framework,algorithm,time,size,query
xml-6,xml,HDD,SAddmin,4028,120,1497
xml-6,xml,HDD,Wddmin,3793,120,1497
xml-6,xml,HDD,ddmin,3890,120,1497
xml-6,xml,Perses,SAddmin,701,30,110
xml-6,xml,Perses,Wddmin,650,30,110
xml-6,xml,Perses,ddmin,658,30,109
xml-7,xml,HDD,SAddmin,2009,69,878
xml-7,xml,HDD,Wddmin,1905,69,875
xml-7,xml,HDD,ddmin,1897,69,875
xml-7,xml,Perses,SAddmin,687,33,160
xml-7,xml,Perses,Wddmin,642,33,160
xml-7,xml,Perses,ddmin,675,33,161
xml-8,xml,HDD,SAddmin,443,24,197
xml-8,xml,HDD,Wddmin,418,24,197
xml-8,xml,HDD,ddmin,3405,138,1718
xml-8,xml,Perses,SAddmin,388,16,86
xml-8,xml,Perses,Wddmin,355,16,86
xml-8,xml,Perses,ddmin,368,16,85
xml-9,xml,HDD,SAddmin,1846,63,833
xml-9,xml,HDD,Wddmin,1585,63,834
xml-9,xml,HDD,ddmin,1720,63,839
xml-9,xml,Perses,SAddmin,1602,37,282
xml-9,xml,Perses,Wddmin,1367,37,279
xml-9,xml,Perses,ddmin,1545,37,284
